desktop-file-utils-0.24        Couple of command line utilities for working with desktop entries
dialog4ports-0.1.6             Console Interface to configure ports
dmenu-4.9_1                    X11 menu application designed for the dwm window manager
docbook-1.5                    Meta-port for the different versions of the DocBook DTD
docbook-sgml-4.5_1             DocBook SGML DTD
docbook-xml-5.0_3              DocBook XML DTD
docbook-xsl-1.79.1_1,1         XSL DocBook stylesheets
docbook2X-0.8.8_5              Convert DocBook documents into UNIX man page and GNU Texinfo formats
dotconf-1.3_1                  Simple, powerful configuration-file parser
drm-fbsd12.0-kmod-4.16.g20200221 DRM modules for the linuxkpi-based KMS components
drm-kmod-g20190710             Metaport of DRM modules for the linuxkpi-based KMS components
dsssl-docbook-modular-1.79_1,1 DSSSL stylesheets for the DocBook DTD by Norman Walsh
dwm-6.2_1                      Dynamic, small, fast and simple window manager
eigen-3.3.7                    Lightweight library for vector and matrix math
enchant2-2.2.3_4               Dictionary/spellchecking framework
encodings-1.0.5,1              X.Org Encoding fonts
espeak-1.48.04_7               Software speech synthesizer
etc_os-release-0.1_3           Operating system identification file
evdev-proto-5.3                Input event device header files
expat-2.2.8                    XML 1.0 parser written in C
faad2-2.8.8,1                  MPEG-2 and MPEG-4 AAC audio decoder
feh-3.4.1                      Image viewer that utilizes Imlib2
ffmpeg-4.2.3,1                 Realtime audio/video encoder/converter and streaming server
firefox-77.0.1,1               Web browser based on the browser portion of Mozilla
flac-1.3.3                     Free lossless audio codec
flock-2.30.1                   Manage locks from shell scripts
font-adobe-100dpi-1.0.3_4      X.Org Adobe 100dpi font
font-adobe-75dpi-1.0.3_4       X.Org Adobe 75dpi font
font-adobe-utopia-100dpi-1.0.4_4 X.Org Adobe Utopia 100dpi font
font-adobe-utopia-75dpi-1.0.4_4 X.Org Adobe Utopia 75dpi font
font-adobe-utopia-type1-1.0.4_4 X.Org Adobe Utopia Type1 font
font-alias-1.0.3_3             X.Org Font aliases
font-arabic-misc-1.0.3_4       X.Org miscellaneous Arabic fonts
font-awesome-5.12.1            Suite of pictographic icons from Font Awesome (free version)
font-bh-100dpi-1.0.3_4         X.Org Bigelow Holmes 100dpi font
font-bh-75dpi-1.0.3_4          X.Org Bigelow Holmes 75dpi font
font-bh-lucidatypewriter-100dpi-1.0.3_4 X.Org Bigelow Holmes Lucida TypeWriter 100dpi font
font-bh-lucidatypewriter-75dpi-1.0.3_4 X.Org Bigelow Holmes Lucida TypeWriter 75dpi font
font-bh-ttf-1.0.3_4            X.Org Bigelow & Holmes TTF font
font-bh-type1-1.0.3_4          X.Org Bigelow Holmes Type1 font
font-bitstream-100dpi-1.0.3_4  X.Org Bitstream Vera 100dpi font
font-bitstream-75dpi-1.0.3_4   X.Org Bitstream Vera 75dpi font
font-bitstream-type1-1.0.3_4   X.Org Bitstream Vera Type1 font
font-cronyx-cyrillic-1.0.3_4   X.Org Cronyx Cyrillic font
font-cursor-misc-1.0.3_4       X.Org miscellaneous Cursor fonts
font-daewoo-misc-1.0.3_4       X.Org miscellaneous Daewoo fonts
font-dec-misc-1.0.3_4          X.Org miscellaneous Dec fonts
font-ibm-type1-1.0.3_4         X.Org IBM Type1 font
font-isas-misc-1.0.3_4         X.Org miscellaneous ISAS fonts
font-jis-misc-1.0.3_4          X.Org miscellaneous JIS fonts
font-micro-misc-1.0.3_4        X.Org miscellaneous Micro fonts
font-misc-cyrillic-1.0.3_4     X.Org miscellaneous Cyrillic font
font-misc-ethiopic-1.0.3_4     X.Org miscellaneous Ethiopic font
font-misc-meltho-1.0.3_4       X.Org miscellaneous Meltho font
font-misc-misc-1.1.2_4         X.Org miscellaneous Misc fonts
font-mutt-misc-1.0.3_4         X.Org miscellaneous Mutt fonts
font-schumacher-misc-1.1.2_4   X.Org miscellaneous Schumacher fonts
font-screen-cyrillic-1.0.4_4   X.Org Screen Cyrillic font
font-sony-misc-1.0.3_4         X.Org miscellaneous Sony fonts
font-sun-misc-1.0.3_4          X.Org miscellaneous Sun fonts
font-util-1.3.2                Create an index of X font files in a directory
font-winitzki-cyrillic-1.0.3_4 X.Org Winitzki Cyrillic font
font-xfree86-type1-1.0.4_4     X.Org XFree86 Type1 font
fontconfig-2.13.92_2,1         XML-based font configuration API for X Windows
freeglut-3.0.0_2               open source implementation of the GLUT library
freetype2-2.10.2               Free and portable TrueType font rendering engine
frei0r-1.6.1                   Minimalistic plugin API for video effects
fribidi-0.19.7                 Free Implementation of the Unicode Bidirectional Algorithm
gccmakedep-1.0.3               Create dependencies in makefiles using 'gcc -M'
gdbm-1.18.1_1                  GNU database manager
gdk-pixbuf2-2.40.0             Graphic library for GTK+
gentoo-0.20.7                  Gtk+ based, file manager inspired by DirectoryOpus
geoclue-2.5.5                  D-Bus service that provides location information
gettext-runtime-0.20.2         GNU gettext runtime libraries and programs
gettext-tools-0.20.2           GNU gettext development and translation tools
ghostscript9-agpl-base-9.52_5  PostScript and PDF interpreter
giflib-5.2.1                   Tools and library routines for working with GIF images
git-2.26.2                     Distributed source code management tool
gle-3.1.0_7                    GL Tubing and Extrusion Library
glew-2.2.0                     OpenGL Extension Wrangler Library
glib-2.56.3_7,1                Some useful routines of C programming (current stable version)
glib-networking-2.56.1_2       Network-related giomodules for glib
gmake-4.3_1                    GNU version of 'make' utility
gmp-6.2.0                      Free library for arbitrary precision arithmetic
gmp-api-58                     Gecko Media Plugins API from mozilla-release
gnome-themes-extra-3.28        Standard themes for GNOME
gnome_subr-1.0                 Common startup and shutdown subroutines used by GNOME scripts
gnupg-2.2.20                   Complete and free PGP implementation
gnutls-3.6.14                  GNU Transport Layer Security library
gobject-introspection-1.56.1,1 Generate interface introspection data for GObject libraries
gperf-3.1                      Generates perfect hash functions for sets of keywords
gpgme-1.13.1                   Library to make access to GnuPG easier
gpgme-cpp-1.13.1               Gpgme C++ bindings
gpgme-qt5-1.13.1               Gpgme Qt5 bindings
gpu-firmware-kmod-g20200503    Firmware modules for the linuxkpi-based KMS components
graphene-1.10.0                Optimizations for speeding up vector operations
graphite2-1.3.14               Rendering capabilities for complex non-Roman writing systems
graphviz-2.44.0_4              Graph Visualization Software from AT&T and Bell Labs
groff-1.22.4_3                 Software typesetting package
gsed-4.8                       GNU stream editor
gsettings-desktop-schemas-3.28.1 Collection of globally shared GSetting schemas
gsfonts-8.11_8                 Standard Fonts for Ghostscript
gsl-2.6                        The GNU Scientific Library - mathematical libs
gstreamer1-1.16.2              Media applications framework
gstreamer1-libav-1.16.2        GStreamer plug-in with many audio/video decoders/encoders
gstreamer1-plugins-1.16.2      GStreamer written collection of plugins handling several media types
gstreamer1-plugins-a52dec-1.16.2 GStreamer ATSC A/52 stream aka AC-3 (dvd audio) plugin
gstreamer1-plugins-bad-1.16.2  GStreamer-plugins that need more quality, testing or documentation
gstreamer1-plugins-core-1.16   Core set of typical audio and video GStreamer plugins
gstreamer1-plugins-dts-1.16.2  GStreamer dts audio decode plugin
gstreamer1-plugins-dvdread-1.16.2_1 GStreamer DVD access plugin with libdvdread
gstreamer1-plugins-gl-1.16.2   GStreamer GL graphics plugin
gstreamer1-plugins-good-1.16.2 GStreamer-plugins good-quality plug-ins
gstreamer1-plugins-mpg123-1.16.2 GStreamer MPEG Layer 1, 2, and 3 plugin
gstreamer1-plugins-ogg-1.16.2  GStreamer Ogg bitstream plugin
gstreamer1-plugins-pango-1.16.2 GStreamer pango textoverlay plugin
gstreamer1-plugins-png-1.16.2  GStreamer png plugin
gstreamer1-plugins-resindvd-1.16.2_1 GStreamer resindvd DVD playback plugin
gstreamer1-plugins-theora-1.16.2 GStreamer theora plugin
gstreamer1-plugins-ugly-1.16.2 GStreamer-plugins set of good-quality plug-ins that might have distribution problems
gstreamer1-plugins-vorbis-1.16.2 GStreamer vorbis encoder/decoder plugin
gtk-arc-themes-20190917        Arc-themes for GTK-2.0 and GTK-3.0 based desktop environments
gtk-doc-1.29_1                 Code documentation system, originally for GTK+
gtk-murrine-engine-0.98.2_5    Murrine GTK+ 2.x cairo based engine
gtk-update-icon-cache-2.24.32  Gtk-update-icon-cache utility from the Gtk+ toolkit
gtk2-2.24.32                   Gimp Toolkit for X11 GUI (previous stable version)
gtk3-3.24.10_1                 Gimp Toolkit for X11 GUI (current stable version)
hack-font-3.003_1              Typeface designed for source code
harfbuzz-2.6.7                 OpenType text shaping engine
harfbuzz-icu-2.6.7_1           Harfbuzz ICU support
help2man-1.47.15               Automatically generating simple manual pages from program output
hicolor-icon-theme-0.17        High-color icon theme shell from the FreeDesktop project
highlight-3.43_8,3             Customizable syntax highlighter
html2text-1.3.2a               Converts HTML documents into plain text
hunspell-1.7.0_2               Improved spell-checker for Hungarian and other languages
hyphen-2.8.8                   Library for high quality hyphenation and justification
i3-4.18.1                      Improved dynamic tiling window manager
i3lock-2.12                    Slightly improved screen locker based on slock
i3status-2.13                  Small program for generating a status bar
iceauth-1.0.8_2                ICE authority file utility for X
iconv-2.0_4                    Charset conversion library and utilities
icu-66.1,1                     International Components for Unicode (from IBM)
imake-1.0.8,1                  Imake and other utilities from X.Org
imlib2-1.6.1,2                 The next generation graphics library for Enlightenment
inconsolata-ttf-2.001_1,1      Monospaced truetype font
indexinfo-0.3.1                Utility to regenerate the GNU info page index
intltool-0.51.0_1              Tools to internationalize various kinds of data files
iso-codes-4.2                  Lists of the country, language, and currency iso names
iso8879-1986_3                 Character entity sets from ISO 8879:1986 (SGML)
itstool-2.0.6                  Make XML documents translatable through po files
jam-2.6                        Build utility like make(1)
jasper-2.0.16_1                Implementation of the codec specified in the JPEG-2000 standard
java-zoneinfo-2020.a           Updated Java timezone definitions
javavmwrapper-2.7.5            Wrapper script for various Java Virtual Machines
jbig2dec-0.18                  Decoder implementation of the JBIG2 image compression format
jbigkit-2.1_1                  Lossless compression for bi-level images such as scanned pages, faxes
jpeg-turbo-2.0.4               SIMD-accelerated JPEG codec which replaces libjpeg
json-glib-1.4.4                JSON (RFC 4627) interface for Glib
jsoncpp-1.9.2                  JSON reader and writer library for C++
kf5-attica-5.68.0              Open Collaboration Services API library KDE5 version
kf5-breeze-icons-5.68.0        Breeze icon theme for KDE
kf5-extra-cmake-modules-5.68.0 Extra modules and scripts for CMake
kf5-kactivities-5.68.0         KF5 runtime and library to organize work in separate activities
kf5-karchive-5.68.0            KF5 library that provides classes for handling archive formats
kf5-kauth-5.68.0               KF5 abstraction to system policy and authentication features
kf5-kbookmarks-5.68.0          KF5 library for bookmarks and the XBEL format
kf5-kcmutils-5.68.0            KF5 utilities for working with KCModules
kf5-kcodecs-5.68.0             KF5 library for string manipulation
kf5-kcompletion-5.68.0         KF5 text completion helpers and widgets
kf5-kconfig-5.68.0             KF5 widgets for configuration dialogs
kf5-kconfigwidgets-5.68.0      KF5 widgets for configuration dialogs
kf5-kcoreaddons-5.68.0         KF5 addons to QtCore
kf5-kcrash-5.68.0              KF5 library to handle crash analysis and bug report from apps
kf5-kdbusaddons-5.68.0         KF5 addons to QtDBus
kf5-kdeclarative-5.68.0        KF5 library providing integration of QML and KDE Frameworks
kf5-kded-5.68.0                KF5 extensible daemon for providing system level services
kf5-kdelibs4support-5.68.0     KF5 porting aid from KDELibs4
kf5-kdesignerplugin-5.68.0     KF5 integration of Frameworks widgets in Qt Designer/Creator
kf5-kdesu-5.68.0               KF5 integration with su for elevated privileges
kf5-kdewebkit-5.68.0           KF5 library providing integration of QtWebKit
kf5-kdoctools-5.68.0           KF5 documentation generation from docbook
kf5-kemoticons-5.68.0          KF5 library to convert emoticons
kf5-kglobalaccel-5.68.0        KF5 library to add support for global workspace shortcuts
kf5-kguiaddons-5.68.0          KF5 addons to QtGui
kf5-khtml-5.68.0               KF5 KTHML rendering engine
kf5-ki18n-5.68.0               KF5 advanced internationalization framework
kf5-kiconthemes-5.68.0         KF5 library for handling icons in applications
kf5-kinit-5.68.0               KF5 process launcher to speed up launching KDE applications
kf5-kio-5.68.0                 KF5 resource and network access abstraction
kf5-kitemmodels-5.68.0         KF5 models for Qt Model/View system
kf5-kitemviews-5.68.0          KF5 widget addons for Qt Model/View
kf5-kjobwidgets-5.68.0         KF5 widgets for tracking KJob instance
kf5-kjs-5.68.0                 KF5 library providing an ECMAScript interpreter
kf5-knotifications-5.68.0      KF5 abstraction for system notifications
kf5-kpackage-5.68.0            KF5 library to load and install packages
kf5-kparts-5.68.0              KF5 document centric plugin system
kf5-kplotting-5.68.0           KF5 lightweight plotting framework
kf5-kpty-5.68.0                KF5 pty abstraction
kf5-kservice-5.68.0            KF5 advanced plugin and service introspection
kf5-ktextwidgets-5.68.0        KF5 advanced text editing widgets
kf5-kunitconversion-5.68.0     KF5 library for unit conversion
kf5-kwallet-5.68.0             KF5 secure and unified container for user passwords
kf5-kwidgetsaddons-5.68.0      KF5 addons to QtWidgets
kf5-kwindowsystem-5.68.0       KF5 library for access to the windowing system
kf5-kxmlgui-5.68.0             KF5 user configurable main windows
kf5-solid-5.68.0               KF5 hardware integration and detection
kf5-sonnet-5.68.0              KF5 plugin-based spell checking library
konqueror-19.12.3              KDE system log application
lcms2-2.10                     Accurate, fast, and small-footprint color management engine
libFS-1.0.8                    The FS library
libGLU-9.0.1                   OpenGL utility library
libICE-1.0.10,1                Inter Client Exchange library for X11
libSM-1.2.3,1                  Session Management library for X11
libX11-1.6.9_1,1               X11 library
libXScrnSaver-1.2.3_2          The XScrnSaver library
libXau-1.0.9                   Authentication Protocol library for X11
libXaw-1.0.13_3,2              X Athena Widgets library
libXcomposite-0.4.5,1          X Composite extension library
libXcursor-1.2.0               X client-side cursor loading library
libXdamage-1.1.5               X Damage extension library
libXdmcp-1.1.3                 X Display Manager Control Protocol library
libXext-1.3.4,1                X11 Extension library
libXfixes-5.0.3_2              X Fixes extension library
libXfont-1.5.4_2,2             X font library
libXfont2-2.0.4                X font library
libXft-2.3.3                   Client-sided font API for X applications
libXi-1.7.10,1                 X Input extension library
libXinerama-1.1.4_2,1          X11 Xinerama library
libXmu-1.1.3,1                 X Miscellaneous Utilities libraries
libXpm-3.5.13                  X Pixmap library
libXrandr-1.5.2                X Resize and Rotate extension library
libXrender-0.9.10_2            X Render extension library
libXres-1.2.0_2                X Resource usage library
libXt-1.2.0,1                  X Toolkit library
libXtst-1.2.3_2                X Test extension
libXv-1.0.11_2,1               X Video Extension library
libXvMC-1.0.12                 X Video Extension Motion Compensation library
libXxf86dga-1.1.5              X DGA Extension
libXxf86vm-1.1.4_3             X Vidmode Extension
liba52-0.7.4_3                 Free library for decoding ATSC A/52 streams, aka AC-3
libarchive-3.4.3,1             Library to create and read several streaming archive formats
libass-0.14.0                  Portable ASS/SSA subtitle renderer
libassuan-2.5.3                IPC library used by GnuPG and gpgme
libcanberra-0.30_5             Implementation of the Freedesktop sound theme spec
libcanberra-gtk3-0.30_5        Implementation of the Freedesktop sound theme spec
libconfig-1.7.2_1              Simple library for manipulating structured configuration files
libconfuse-3.2.1_1             Configuration file parsing library
libcroco-0.6.13                CSS2 parsing library
libdaemon-0.14_1               Lightweight C library that eases the writing of UNIX daemons
libdbusmenu-qt5-0.9.3.160420160218_10 Qt5 implementation of the DBusMenu protocol
libdca-0.0.6_1                 Free DTS Coherent Acoustics decoder
libdmx-1.1.4_2                 DMX extension library
libdrm-2.4.102,1               Userspace interface to kernel Direct Rendering Module services
libdvdnav-6.1.0                Videolan version of the libdvdnav project
libdvdread-6.1.0               Videolan version of the libdvdread project
libedit-3.1.20191231,1         Command line editor library
libepoll-shim-0.0.20200602     Small epoll implementation using kqueue
libepoxy-1.5.4                 Library to handle OpenGL function pointer management
libev-4.24,1                   Full-featured and high-performance event loop library
libevdev-1.5.9_1               Linux Event Device library
libevent-2.1.11                API for executing callback functions on events or timeouts
libexif-0.6.21_5               Library to read digital camera file meta-data
libffi-3.2.1_3                 Foreign Function Interface
libfontenc-1.1.4               The fontenc Library
libgcrypt-1.8.5                General purpose cryptographic library based on the code from GnuPG
libgd-2.3.0,1                  Graphics library for fast creation of images
libglade2-2.6.4_10             GNOME glade library
libgpg-error-1.37              Common error values for all GnuPG components
libgsf-1.14.46                 Extensible I/O abstraction for dealing with structured file formats
libgudev-230_1                 GObject bindings for libudev.
libiconv-1.16                  Character set conversion library
libid3tag-0.15.1b_2            ID3 tags library (part of MAD project)
libidn-1.35                    Internationalized Domain Names command line tool
libidn2-2.3.0_1                Implementation of IDNA2008 internationalized domain names
libinotify-20180201_2          Kevent based inotify compatible library
libinput-1.15.5                Generic input library
libksba-1.3.5_1                KSBA is an X.509 Library
libltdl-2.4.6                  System independent dlopen wrapper
liblz4-1.9.2_1,1               LZ4 compression library, lossless and very fast
libmtdev-1.1.5_2               Multitouch Protocol Translation Library
libmysofa-0.9                  SOFA (Spatially Oriented Format for Acoustics) file reader
libnghttp2-1.41.0              HTTP/2.0 C Library
libnotify-0.7.8                Library for desktop notifications
libogg-1.3.4,4                 Ogg bitstream library
libpaper-1.1.24.4              Library providing routines for paper size management
libpci-3.7.0                   PCI configuration space I/O made easy
libpciaccess-0.16              Generic PCI access library
libproxy-0.4.15                Library that provides automatic proxy configuration management
libpthread-stubs-0.4           Weak aliases for pthread functions
librsvg2-2.40.21               Library for parsing and rendering SVG vector-graphic files
libsecret-0.18.6_1             Library to access the secret service API
libsndfile-1.0.28_2            Reading and writing files containing sampled sound (like WAV or AIFF)
libsoup-2.62.3                 SOAP (Simple Object Access Protocol) implementation in C
libtasn1-4.16.0                ASN.1 structure parser library
libtextstyle-0.20.2            Text styling library
libtheora-1.1.1_7              Theora video codec for the Ogg multimedia streaming system
libtool-2.4.6_1                Generic shared library support script
libudev-devd-0.4.2             libudev-compatible interface for devd
libunistring-0.9.10_1          Unicode string library
libunwind-20200331             Generic stack unwinding library
libuv-1.38.0                   Multi-platform support library with a focus on asynchronous I/O
libv4l-1.18.0                  Video4Linux library
libva-2.7.1                    VAAPI wrapper and dummy driver
libvdpau-1.4                   VDPAU wrapper and tracing library
libvorbis-1.3.6,3              Audio compression codec library
libvpx-1.8.2_1                 VP8/VP9 reference encoder/decoder
libwacom-1.3                   Adds tablet support to libinput
libwpe-1.4.0.1                 General-purpose library for WPE WebKit
libx264-0.159.2999             H.264/MPEG-4 AVC Video Encoding (Library)
libxcb-1.13.1                  The X protocol C-language Binding (XCB) library
libxkbcommon-0.10.0_2          Keymap handling library for toolkits and window systems
libxkbfile-1.1.0               XKB file library
libxml2-2.9.10                 XML parser library for GNOME
libxshmfence-1.3               Shared memory 'SyncFence' synchronization primitive
libxslt-1.1.34_1               The XSLT C library for GNOME
libyaml-0.2.4                  YAML 1.1 parser and emitter written in C
linux-c7-cairo-1.15.12_1       Vector graphics library Cairo (Linux CentOS 7.8.2003)
linux-c7-dri-18.3.4_3          Mesa libGL runtime libraries (Linux CentOS 7.8.2003)
linux-c7-elfutils-libelf-0.176_1 ELF file handling library (CentOS 7.8.2003)
linux-c7-expat-2.1.0_3         XML 1.0 parser written in C (Linux CentOS 7.8.2003)
linux-c7-fontconfig-2.13.0     XML-based font configuration API for X Windows (Linux CentOS 7.8.2003)
linux-c7-freetype-2.8_1        Font rendering engine (Linux CentOS 7.8.2003)
linux-c7-fribidi-1.0.2_1       Unicode Bidirectional Algorithm (Linux CentOS 7.8.2003)
linux-c7-graphite2-1.3.10      Rendering capabilities for complex non-Roman writing systems (Linux CentOS 7.8.2003)
linux-c7-harfbuzz-1.7.5        OpenType text shaping engine (Linux CentOS 7.8.2003)
linux-c7-libdrm-2.4.91         Interface to kernel Direct Rendering Module (Linux CentOS 7.6.1810)
linux-c7-libglvnd-1.0.1        GL Vendor-Neutral Dispatch library (Linux CentOS 7.8.2003)
linux-c7-libpciaccess-0.14     Generic PCI access library (CentOS 7.8.2003)
linux-c7-libpng-1.5.13_2       Library for manipulating PNG images (Linux CentOS 7.8.2003)
linux-c7-libthai-0.1.14_1      Thai language support library (Linux CentOS 7.8.2003)
linux-c7-pixman-0.34.0         Low-level pixel manipulation library (Linux CentOS 7.8.2003)
linux-c7-wayland-1.15.0        Wayland compositor libraries (Linux CentOS 7.8.2003)
linux-c7-xorg-libs-7.7_8       Xorg libraries (Linux CentOS 7.8.2003)
linux_base-c7-7.8.2003_1       Base set of packages needed in Linux mode (Linux CentOS 7.8.2003)
llvm80-8.0.1_3                 LLVM and Clang
lua52-5.2.4                    Small, compilable scripting language providing easy access to C code
luit-20190106_1                Locale and ISO 2022 support for Unicode terminals
lynx-2.8.9.1_1,1               Non-graphical, text-based World-Wide Web client
lzo2-2.10_1                    Portable speedy, lossless data compression library
m4-1.4.18_1,1                  GNU M4
mac-3.99.4.5.7_1               Monkey's Audio lossless codec
makedepend-1.0.6,1             Dependency generator for makefiles
mandelbulber-2.21              3D Mandelbrot fractal renderer
mesa-demos-8.4.0_2             OpenGL demos distributed with Mesa
mesa-dri-19.0.8_2              OpenGL hardware acceleration drivers for DRI2+
mesa-libs-19.0.8               OpenGL libraries that support GLX and EGL clients
meson-0.54.2                   High performance build system
minixmlto-0.0.2_1              Minimalistic alternative to xmlto
mkfontscale-1.2.1              Creates an index of scalable font files for X
mpfr-4.0.2                     Library for multiple-precision floating-point computations
mpg123-1.25.13                 Command-line player for MPEG Layer 1, 2, and 3 audio files
nasm-2.14.02,1                 General-purpose multi-platform x86 and amd64 assembler
nerd-fonts-2.1.0               Developer-targeted fonts with a high number of glyphs
netpbm-10.90.04                Toolkit for conversion of images between different formats
nettle-3.5.1_1                 Low-level cryptographic library
ninja-1.10.0,2                 Small build system closest in spirit to Make
node-14.4.0                    V8 JavaScript for client and server
noto-basic-2.0                 Google Noto Fonts family (Basic and Emoji)
npth-1.6                       New GNU Portable Threads
nspr-4.26                      Platform-neutral API for system level and libc like functions
nss-3.53.1                     Libraries to support development of security-enabled applications
openal-soft-1.20.1             Software implementation of the OpenAL specification
opencl-2.2_1                   Open Computing Language (OpenCL) specifications V2.2 (header files)
opencv-core-3.4.1_32           Open Source Computer Vision library
openh264-2.1.0,2               Cisco implementation of H.264 codec
openjdk8-8.252.09.1            Java Development Kit 8
openjpeg-2.3.1                 Open-source JPEG 2000 codec
opus-1.3.1                     IETF audio codec
orc-0.4.31                     Library and toolset to operate arrays of data
p11-kit-0.23.20                Library for loading and enumerating of PKCS#11 modules
p5-AnyEvent-7.17,1             Provide framework for multiple event loops
p5-AnyEvent-I3-0.17            Communicate with the i3 window manager
p5-Authen-NTLM-1.09_1          Perl5 NTLM authentication module
p5-Authen-SASL-2.16_1          Perl5 module for SASL authentication
p5-CGI-4.46                    Handle Common Gateway Interface requests and responses
p5-Clone-0.45                  Recursively copy Perl datatypes
p5-Digest-HMAC-1.03_1          Perl5 interface to HMAC Message-Digest Algorithms
p5-Encode-Locale-1.05          Determine the locale encoding
p5-Error-0.17029               Error/exception handling in object-oriented programming style
p5-File-Listing-6.04_1         Parse directory listings
p5-GSSAPI-0.28_1               Perl extension providing access to the GSSAPIv2 library
p5-HTML-Parser-3.72            Perl5 module for parsing HTML documents
p5-HTML-Tagset-3.20_1          Some useful data table in parsing HTML
p5-HTTP-Cookies-6.08           HTTP Cookie jars
p5-HTTP-Daemon-6.10            Simple HTTP server class
p5-HTTP-Date-6.05              Conversion routines for the HTTP protocol date formats
p5-HTTP-Message-6.24           Representation of HTTP style messages
p5-HTTP-Negotiate-6.01_1       Implementation of the HTTP content negotiation algorithm
p5-IO-HTML-1.001_1             Open an HTML file with automatic charset detection
p5-IO-Socket-INET6-2.72_1      Perl module with object interface to AF_INET6 domain sockets
p5-IO-Socket-SSL-2.067         Perl5 interface to SSL sockets
p5-IO-Tty-1.14                 Flexible I/O Perl5 module that allows manipulation of pseudo-TTYs
p5-IPC-Run-0.99                Run subprocesses with piping and redirection
p5-JSON-XS-4.02                JSON serialising/deserialising, done correctly and fast
p5-LWP-MediaTypes-6.04         Guess media type for a file or a URL
p5-Locale-gettext-1.07         Message handling functions
p5-Locale-libintl-1.31         Internationalization library for Perl
p5-Mozilla-CA-20180117         Perl extension for Mozilla CA cert bundle in PEM format
p5-Net-HTTP-6.19               Low-level HTTP client
p5-Net-SSLeay-1.88             Perl5 interface to SSL
p5-Socket6-0.29                IPv6 related part of the C socket.h defines and structure manipulators
p5-Term-ReadKey-2.38_1         Perl5 module for simple terminal control
p5-Text-Unidecode-1.30         US-ASCII transliterations of Unicode text
p5-TimeDate-2.33,1             Perl5 module containing a better/faster date parser for absolute dates
p5-Try-Tiny-0.30               Minimal try/catch with proper localization of $@
p5-Types-Serialiser-1.0_1      Simple data types for common serialisation formats
p5-URI-1.76                    Perl5 interface to Uniform Resource Identifier (URI) references
p5-Unicode-EastAsianWidth-12.0 East Asian Width properties
p5-WWW-RobotRules-6.02_1       Database of robots.txt-derived permissions
p5-XML-NamespaceSupport-1.12   Simple generic namespace support class
p5-XML-Parser-2.44             Perl extension interface to James Clark's XML parser, expat
p5-XML-SAX-1.02                Simple API for XML
p5-XML-SAX-Base-1.09           Base class SAX Drivers and Filters
